Time,Amount,RiskScore,Class,Hour,risk_tier
84204.0,512.25,95.12,1,23.0,High Risk
25198.0,99.99,95.08,1,6.0,Medium Risk
84204.0,0.0,94.57,1,23.0,Medium Risk
84204.0,0.0,94.57,1,23.0,Medium Risk
41870.0,1.0,94.2,1,11.0,Medium Risk
102542.0,2.28,92.58,1,4.0,Medium Risk
102480.0,0.0,92.23,1,4.0,Medium Risk
25231.0,99.99,90.77,1,7.0,Medium Risk
166198.0,25691.16,90.63,0,22.0,High Risk
42988.0,648.0,90.27,1,11.0,High Risk
102669.0,0.0,89.8,1,4.0,Medium Risk
42985.0,1.0,89.77,1,11.0,Medium Risk
25254.0,99.99,89.43,1,7.0,Medium Risk
102671.0,0.0,89.26,1,4.0,Medium Risk
55279.0,1.0,88.47,1,15.0,Medium Risk
102676.0,119.74,88.07,1,4.0,High Risk
26217.0,1.0,87.88,0,7.0,Medium Risk
102489.0,104.0,87.84,1,4.0,High Risk
85285.0,252.92,87.45,1,23.0,High Risk
85285.0,252.92,87.45,1,23.0,High Risk
85285.0,0.0,87.16,1,23.0,Medium Risk
85285.0,0.0,87.16,1,23.0,Medium Risk
55311.0,0.83,87.12,1,15.0,Medium Risk
100298.0,1.0,86.74,1,3.0,Medium Risk
26523.0,99.99,86.72,1,7.0,Medium Risk
34687.0,19.02,86.7,1,9.0,Medium Risk
26556.0,99.99,85.31,1,7.0,Medium Risk
56624.0,153.46,84.31,1,15.0,High Risk
101313.0,2.28,84.19,1,4.0,Medium Risk
26585.0,99.99,83.97,1,7.0,Medium Risk
100924.0,1.0,83.86,1,4.0,Medium Risk
55614.0,0.83,83.46,1,15.0,Medium Risk
102619.0,1.0,83.31,1,4.0,Medium Risk
84694.0,12.31,83.27,1,23.0,Medium Risk
55618.0,130.44,82.89,1,15.0,High Risk
75207.0,243.26,82.74,0,20.0,High Risk
152058.0,1.0,82.66,1,18.0,Medium Risk
26833.0,99.99,82.63,1,7.0,Medium Risk
152036.0,1.0,82.57,1,18.0,Medium Risk
102625.0,7.59,82.43,1,4.0,Medium Risk
56650.0,7.52,81.49,1,15.0,Medium Risk
35866.0,7.61,81.46,1,9.0,Medium Risk
102622.0,346.94,81.46,1,4.0,High Risk
26863.0,99.99,81.29,1,7.0,Medium Risk
152098.0,1.0,81.22,1,18.0,Medium Risk
12093.0,0.0,80.96,1,3.0,Medium Risk
94362.0,1.0,80.61,1,2.0,Medium Risk
94362.0,1.0,80.61,1,2.0,Medium Risk
94362.0,1.0,80.61,1,2.0,Medium Risk
94362.0,1.0,80.61,1,2.0,Medium Risk
12095.0,30.39,79.95,1,3.0,Medium Risk
26899.0,99.99,79.95,1,7.0,Medium Risk
152165.0,1.0,79.79,1,18.0,Medium Risk
35899.0,1.0,79.0,1,9.0,Medium Risk
35906.0,9.13,78.93,1,9.0,Medium Risk
8415.0,1.0,78.9,1,2.0,Medium Risk
26931.0,99.99,78.61,1,7.0,Medium Risk
152307.0,1.0,78.36,1,18.0,Medium Risk
8808.0,1.1,78.34,1,2.0,Medium Risk
8408.0,1.0,77.67,1,2.0,Medium Risk
26961.0,99.99,77.27,1,7.0,Medium Risk
35926.0,4.56,77.0,1,9.0,Medium Risk
102572.0,0.01,76.57,1,4.0,Medium Risk
27163.0,99.99,75.93,1,7.0,Medium Risk
102114.0,0.0,75.91,1,4.0,Medium Risk
35953.0,111.7,75.84,1,9.0,High Risk
6986.0,59.0,75.72,1,1.0,Medium Risk
57163.0,1.0,75.47,1,15.0,Medium Risk
36170.0,111.7,75.2,1,10.0,High Risk
27187.0,99.99,74.59,1,7.0,Medium Risk
8878.0,1.0,74.22,1,2.0,Medium Risk
8886.0,1.0,74.18,1,2.0,Medium Risk
123525.0,45.51,73.79,1,10.0,Medium Risk
27219.0,99.99,73.25,1,7.0,Medium Risk
28233.0,1.0,73.11,0,7.0,Medium Risk
160665.0,0.77,72.54,1,20.0,Medium Risk
28626.0,89.99,71.99,0,7.0,Medium Risk
62341.0,1.1,71.98,1,17.0,Medium Risk
27252.0,99.99,71.91,1,7.0,Medium Risk
160870.0,0.77,71.44,1,20.0,Medium Risk
35942.0,14.46,70.95,1,9.0,Medium Risk
83934.0,1.0,70.76,1,23.0,Medium Risk
28818.0,89.99,70.71,0,8.0,Medium Risk
27524.0,1.0,70.36,0,7.0,Medium Risk
64093.0,294.9,70.02,1,17.0,High Risk
74895.0,12.01,69.45,0,20.0,Medium Risk
149582.0,1.1,69.41,1,17.0,Medium Risk
29030.0,89.99,69.36,0,8.0,Medium Risk
75851.0,99.85,69.35,1,21.0,Medium Risk
28143.0,99.99,69.2,1,7.0,Medium Risk
7535.0,1.0,69.06,1,2.0,Medium Risk
75978.0,99.9,68.34,1,21.0,Medium Risk
160537.0,4.69,68.09,1,20.0,Medium Risk
7526.0,1.0,68.03,1,2.0,Medium Risk
29207.0,89.99,68.01,0,8.0,Medium Risk
28625.0,99.99,67.8,1,7.0,Medium Risk
75581.0,124.53,67.76,1,20.0,High Risk
40919.0,112.33,67.4,1,11.0,High Risk
154657.0,0.77,67.25,1,18.0,Medium Risk
40918.0,0.76,66.8,1,11.0,Medium Risk
29234.0,89.99,66.66,0,8.0,Medium Risk
75706.0,109.9,66.54,0,21.0,High Risk
8451.0,1.0,66.47,1,2.0,Medium Risk
28658.0,99.99,66.46,1,7.0,Medium Risk
155054.0,0.77,66.38,1,19.0,Medium Risk
85573.0,1.0,66.09,1,23.0,Medium Risk
64785.0,720.38,65.8,1,17.0,High Risk
76575.0,219.8,65.5,1,21.0,High Risk
8528.0,1.0,65.41,1,2.0,Medium Risk
29664.0,1.0,65.13,0,8.0,Medium Risk
28692.0,99.99,65.12,1,7.0,Medium Risk
62467.0,1402.16,65.12,1,17.0,High Risk
148028.0,0.0,65.0,1,17.0,Medium Risk
155359.0,0.77,64.94,1,19.0,Medium Risk
85576.0,240.77,64.9,1,23.0,High Risk
76826.0,254.76,64.0,1,21.0,High Risk
109297.0,0.0,63.95,1,6.0,Medium Risk
30047.0,89.99,63.94,0,8.0,Medium Risk
28726.0,99.99,63.78,1,7.0,Medium Risk
109298.0,186.13,63.73,1,6.0,High Risk
60353.0,454.82,63.72,1,16.0,High Risk
155965.0,0.77,63.61,1,19.0,Medium Risk
154599.0,6.74,63.52,1,18.0,Medium Risk
85864.0,1.0,63.39,1,23.0,Medium Risk
8169.0,1.0,63.26,1,2.0,Medium Risk
8757.0,1.0,63.01,1,2.0,Medium Risk
8614.0,1.0,62.99,1,2.0,Medium Risk
34684.0,125.3,62.7,1,9.0,High Risk
30073.0,89.99,62.53,0,8.0,Medium Risk
155662.0,0.77,62.48,1,19.0,Medium Risk
28755.0,99.99,62.44,1,7.0,Medium Risk
91407.0,52.69,62.25,1,1.0,Medium Risk
58060.0,1.0,61.96,1,16.0,Medium Risk
11635.0,1.0,61.4,1,3.0,Medium Risk
88672.0,1.18,61.3,1,0.0,Medium Risk
35771.0,60.6,61.2,1,9.0,Medium Risk
41444.0,1.0,60.99,0,11.0,Medium Risk
58822.0,45.64,60.95,1,16.0,Medium Risk
143456.0,1.0,60.89,1,15.0,Medium Risk
40742.0,1.0,60.25,1,11.0,Medium Risk
7551.0,1.0,60.09,1,2.0,Medium Risk
77627.0,106.9,60.04,1,21.0,High Risk
7543.0,1.0,60.01,1,2.0,Medium Risk
41991.0,1.0,59.87,1,11.0,Medium Risk
41791.0,99.99,59.83,1,11.0,Medium Risk
59840.0,5.91,59.8,1,16.0,Medium Risk
143434.0,1.0,59.68,1,15.0,Medium Risk
41646.0,172.32,59.61,1,11.0,High Risk
128519.0,93.35,59.41,1,11.0,Medium Risk
41501.0,1.0,59.19,0,11.0,Medium Risk
44393.0,1.0,59.07,1,12.0,Medium Risk
146179.0,0.77,58.74,1,16.0,Medium Risk
85867.0,310.42,58.5,1,23.0,High Risk
40662.0,1.0,58.26,1,11.0,Medium Risk
11092.0,1.0,58.23,1,3.0,Medium Risk
50067.0,1.0,58.23,0,13.0,Medium Risk
155535.0,3.9,58.15,1,19.0,Medium Risk
41508.0,89.99,58.0,0,11.0,Medium Risk
42247.0,1.0,57.83,1,11.0,Medium Risk
151916.0,0.01,57.09,1,18.0,Medium Risk
50706.0,99.99,57.07,1,14.0,Medium Risk
100501.0,0.76,57.02,1,3.0,Medium Risk
41864.0,89.99,56.59,0,11.0,Medium Risk
43369.0,88.0,55.84,1,12.0,Medium Risk
50808.0,99.99,55.66,1,14.0,Medium Risk
7610.0,1.0,55.57,1,2.0,Medium Risk
7672.0,1.0,55.55,1,2.0,Medium Risk
29753.0,0.68,55.48,1,8.0,Medium Risk
68207.0,1.0,55.32,1,18.0,Medium Risk
68207.0,1.0,55.32,1,18.0,Medium Risk
68207.0,1.0,55.32,1,18.0,Medium Risk
68207.0,1.0,55.32,1,18.0,Medium Risk
68207.0,1.0,55.32,1,18.0,Medium Risk
68207.0,1.0,55.32,1,18.0,Medium Risk
118532.0,105.89,55.24,1,8.0,High Risk
42474.0,1.0,54.85,1,11.0,Medium Risk
157284.0,0.77,54.35,1,19.0,Medium Risk
51112.0,99.99,54.32,1,14.0,Medium Risk
146022.0,1.18,54.29,1,16.0,Medium Risk
151972.0,57.73,54.12,1,18.0,Medium Risk
56887.0,5.0,53.94,1,15.0,Medium Risk
118603.0,105.89,53.84,1,8.0,High Risk
52997.0,1.0,53.35,0,14.0,Medium Risk
139117.0,8.3,53.35,1,14.0,Medium Risk
70071.0,227.3,53.23,1,19.0,High Risk
7891.0,1.0,53.17,1,2.0,Medium Risk
51135.0,99.99,52.98,1,14.0,Medium Risk
71033.0,426.4,52.55,1,19.0,High Risk
56806.0,1.0,52.43,1,15.0,Medium Risk
8090.0,1.0,52.08,1,2.0,Medium Risk
51155.0,99.99,51.64,1,14.0,Medium Risk
39954.0,1201.83,51.63,0,11.0,High Risk
148468.0,0.76,51.56,1,17.0,Medium Risk
110547.0,0.76,51.55,1,6.0,Medium Risk
95286.0,18910.0,51.52,0,2.0,High Risk
72327.0,238.9,51.37,1,20.0,High Risk
129741.0,1.0,51.07,1,12.0,Medium Risk
142394.0,320.01,51.03,1,15.0,High Risk
139767.0,120.54,50.99,1,14.0,High Risk
9064.0,1809.68,50.83,1,2.0,High Risk
121238.0,144.62,50.53,1,9.0,High Risk
129764.0,362.55,50.32,1,12.0,High Risk
161154.0,0.38,50.27,1,20.0,Medium Risk
129371.0,0.0,50.22,1,11.0,Medium Risk
155554.0,94.82,50.22,1,19.0,Medium Risk
139951.0,723.21,50.19,1,14.0,High Risk
153875.0,0.0,50.03,1,18.0,Medium Risk
51575.0,500.0,49.95,0,14.0,High Risk
133731.0,0.0,49.75,1,13.0,Medium Risk
144808.0,667.55,49.62,1,16.0,High Risk
149096.0,0.0,49.62,1,17.0,Medium Risk
48401.0,19656.53,49.53,0,13.0,High Risk
12393.0,179.66,49.44,1,3.0,High Risk
134928.0,0.0,49.28,1,13.0,Medium Risk
12613.0,1.0,49.0,0,3.0,Medium Risk
148074.0,0.0,48.73,1,17.0,Medium Risk
148476.0,0.76,48.55,1,17.0,Medium Risk
7519.0,1.0,48.52,1,2.0,Medium Risk
13331.0,1.0,48.21,0,3.0,Medium Risk
166925.0,0.77,48.09,0,22.0,Medium Risk
116195.0,19.99,48.05,0,8.0,Medium Risk
115691.0,17.06,47.96,1,8.0,Medium Risk
161046.0,0.77,47.95,0,20.0,Medium Risk
151029.0,10.7,47.57,1,17.0,Medium Risk
120322.0,0.77,47.46,0,9.0,Medium Risk
11347.0,1.0,47.43,0,3.0,Medium Risk
14080.0,1.0,47.41,0,3.0,Medium Risk
141953.0,0.77,47.2,0,15.0,Medium Risk
160895.0,127.14,47.2,1,20.0,High Risk
117109.0,119.99,47.15,0,8.0,High Risk
113620.0,21.93,46.94,0,7.0,Medium Risk
114225.0,16.68,46.92,0,7.0,Medium Risk
142840.0,144.8,46.83,1,15.0,High Risk
148479.0,122.68,46.73,1,17.0,High Risk
44208.0,1.0,46.69,0,12.0,Medium Risk
14160.0,1.0,46.62,0,3.0,Medium Risk
98904.0,0.0,46.58,0,3.0,Medium Risk
137211.0,39.45,46.58,1,14.0,Medium Risk
29526.0,0.68,46.57,1,8.0,Medium Risk
110552.0,80.22,46.55,1,6.0,Medium Risk
142038.0,0.77,46.53,0,15.0,Medium Risk
99129.0,45.51,46.51,0,3.0,Medium Risk
142154.0,0.77,46.41,0,15.0,Medium Risk
90303.0,0.77,46.36,0,1.0,Medium Risk
58642.0,113.92,46.35,1,16.0,High Risk
96291.0,33.59,46.1,1,2.0,Medium Risk
29531.0,0.68,45.77,1,8.0,Medium Risk
96135.0,18.96,45.67,1,2.0,Medium Risk
40276.0,1.0,45.4,1,11.0,Medium Risk
11641.0,1.0,45.32,0,3.0,Medium Risk
135191.0,0.77,45.24,0,13.0,Medium Risk
144839.0,0.0,45.24,1,16.0,Medium Risk
36520.0,1.0,45.16,0,10.0,Medium Risk
99180.0,75.86,45.14,0,3.0,Medium Risk
116728.0,0.77,45.14,0,8.0,Medium Risk
138942.0,727.91,45.14,1,14.0,High Risk
36524.0,58.09,45.09,0,10.0,Medium Risk
129222.0,4.87,45.0,1,11.0,Medium Risk
135314.0,84.28,44.82,1,13.0,Medium Risk
160916.0,0.77,44.81,0,20.0,Medium Risk
157207.0,4.97,44.6,1,19.0,Medium Risk
57027.0,444.17,44.42,1,15.0,High Risk
140308.0,592.9,43.96,1,14.0,High Risk
57007.0,0.01,43.95,1,15.0,Medium Risk
159215.0,0.77,43.89,0,20.0,Medium Risk
143354.0,1.0,43.87,1,15.0,Medium Risk
126765.0,0.77,43.8,0,11.0,Medium Risk
140293.0,0.77,43.77,1,14.0,Medium Risk
58067.0,1.0,43.68,1,16.0,Medium Risk
145926.0,0.77,43.57,0,16.0,Medium Risk
127964.0,0.77,43.55,0,11.0,Medium Risk
144226.0,0.77,43.51,0,16.0,Medium Risk
62059.0,6.62,43.46,1,17.0,Medium Risk
114142.0,22.75,43.45,0,7.0,Medium Risk
143863.0,200.0,43.42,0,15.0,High Risk
134819.0,0.77,43.33,0,13.0,Medium Risk
141800.0,0.77,43.3,0,15.0,Medium Risk
58199.0,1.75,43.27,1,16.0,Medium Risk
164637.0,0.77,43.26,0,21.0,Medium Risk
112724.0,6.06,43.1,0,7.0,Medium Risk
153547.0,0.0,43.09,0,18.0,Medium Risk
126287.0,0.77,43.07,0,11.0,Medium Risk
121851.0,152.65,42.93,0,9.0,High Risk
17526.0,1.0,42.88,0,4.0,Medium Risk
125658.0,0.0,42.72,1,10.0,Medium Risk
140934.0,0.77,42.63,0,15.0,Medium Risk
34634.0,18.96,42.52,1,9.0,Medium Risk
148053.0,1.59,42.36,1,17.0,Medium Risk
148053.0,1.59,42.36,1,17.0,Medium Risk
128471.0,67.9,42.35,1,11.0,Medium Risk
86570.0,102.0,42.31,0,0.0,High Risk
146344.0,94.82,42.3,1,16.0,Medium Risk
7740.0,1.0,42.28,1,2.0,Medium Risk
36225.0,1.0,42.04,0,10.0,Medium Risk
143438.0,8.9,41.89,1,15.0,Medium Risk
161480.0,0.77,41.88,0,20.0,Medium Risk
15817.0,11.39,41.85,1,4.0,Medium Risk
141320.0,195.66,41.69,1,15.0,High Risk
121759.0,152.65,41.64,0,9.0,High Risk
116067.0,65.0,41.57,1,8.0,Medium Risk
121251.0,10.61,41.48,0,9.0,Medium Risk
129332.0,0.77,41.48,0,11.0,Medium Risk
53031.0,0.76,41.45,1,14.0,Medium Risk
112880.0,3.79,41.42,0,7.0,Medium Risk
162916.0,0.77,41.38,0,21.0,Medium Risk
113499.0,6.8,41.32,0,7.0,Medium Risk
166878.0,0.77,41.23,0,22.0,Medium Risk
91524.0,1.0,41.06,1,1.0,Medium Risk
143631.0,0.77,41.04,0,15.0,Medium Risk
169142.0,390.0,41.04,1,22.0,High Risk
133161.0,1860.0,41.03,0,12.0,High Risk
142071.0,303.8,40.99,0,15.0,High Risk
162332.0,0.77,40.98,0,21.0,Medium Risk
114709.0,15.88,40.95,0,7.0,Medium Risk
37167.0,12.31,40.76,1,10.0,Medium Risk
64412.0,1.0,40.68,1,17.0,Medium Risk
18698.0,1.0,40.64,0,5.0,Medium Risk
128422.0,0.77,40.47,0,11.0,Medium Risk
138894.0,0.01,40.39,1,14.0,Medium Risk
121668.0,152.65,40.35,0,9.0,High Risk
66037.0,7.53,40.2,1,18.0,Medium Risk
18405.0,1.0,39.94,0,5.0,Medium Risk
53608.0,89.99,39.94,0,14.0,Medium Risk
101597.0,147.87,39.93,1,4.0,High Risk
91898.0,1.0,39.79,0,1.0,Medium Risk
103455.0,1.52,39.75,0,4.0,Medium Risk
162400.0,0.77,39.68,0,21.0,Medium Risk
169966.0,245.0,39.62,1,23.0,High Risk
74757.0,34.05,39.33,0,20.0,Medium Risk
145283.0,10000.0,39.19,0,16.0,High Risk
123078.0,11.0,39.16,1,10.0,Medium Risk
121584.0,152.65,39.07,0,9.0,High Risk
32686.0,0.0,39.03,1,9.0,Medium Risk
36186.0,1.0,38.92,0,10.0,Medium Risk
53378.0,1.0,38.91,0,14.0,Medium Risk
59669.0,6.27,38.85,1,16.0,Medium Risk
145538.0,0.77,38.68,0,16.0,Medium Risk
145773.0,1210.0,38.53,0,16.0,High Risk
45463.0,1.0,38.51,1,12.0,Medium Risk
86624.0,2018.09,38.32,0,0.0,High Risk
62080.0,180.0,38.15,1,17.0,High Risk
70229.0,3.79,38.02,1,19.0,Medium Risk
59011.0,1389.56,38.01,1,16.0,High Risk
81372.0,7.57,37.98,1,22.0,Medium Risk
133099.0,0.0,37.83,0,12.0,Medium Risk
83065.0,407.0,37.8,0,23.0,High Risk
121449.0,152.65,37.78,0,9.0,High Risk
136137.0,1676.6,37.72,0,13.0,High Risk
45541.0,1.0,37.45,1,12.0,Medium Risk
148008.0,157.43,37.44,0,17.0,High Risk
134769.0,925.31,37.43,1,13.0,High Risk
91502.0,1.0,37.41,1,1.0,Medium Risk
53658.0,0.0,37.31,1,14.0,Medium Risk
97638.0,0.0,37.28,0,3.0,Medium Risk
43494.0,24.9,37.25,1,12.0,Medium Risk
128803.0,175.9,37.18,1,11.0,High Risk
129308.0,80.9,37.17,1,11.0,Medium Risk
53451.0,8.0,37.14,1,14.0,Medium Risk
112374.0,18.2,37.1,0,7.0,Medium Risk
171234.0,3.82,37.08,0,23.0,Medium Risk
103808.0,2.27,37.06,1,4.0,Medium Risk
58222.0,270.0,37.01,1,16.0,High Risk
4429.0,0.77,37.0,0,1.0,Medium Risk
163181.0,39.98,36.97,1,21.0,Medium Risk
92087.0,1.0,36.94,0,1.0,Medium Risk
92087.0,1.0,36.94,0,1.0,Medium Risk
61108.0,101.5,36.93,1,16.0,High Risk
122723.0,1676.6,36.92,0,10.0,High Risk
25109.0,1.0,36.91,0,6.0,Medium Risk
99037.0,0.0,36.82,0,3.0,Medium Risk
46057.0,1.0,36.81,1,12.0,Medium Risk
35261.0,2.69,36.8,0,9.0,Medium Risk
33309.0,4313.82,36.78,0,9.0,High Risk
41582.0,39.45,36.78,1,11.0,Medium Risk
74159.0,76.94,36.69,1,20.0,Medium Risk
153761.0,51.37,36.67,1,18.0,Medium Risk
142019.0,5964.95,36.64,0,15.0,High Risk
97758.0,106.27,36.62,0,3.0,High Risk
41292.0,1.0,36.53,0,11.0,Medium Risk
121345.0,152.65,36.49,0,9.0,High Risk
147501.0,996.27,36.49,1,16.0,High Risk
134766.0,1.0,36.43,1,13.0,Medium Risk
154278.0,1504.93,36.37,1,18.0,High Risk
25153.0,89.99,36.24,0,6.0,Medium Risk
82802.0,305.25,36.2,0,23.0,High Risk
149236.0,1.0,36.2,1,17.0,Medium Risk
74662.0,34.05,36.18,0,20.0,Medium Risk
99052.0,48.09,36.08,0,3.0,Medium Risk
136124.0,1676.6,36.08,0,13.0,High Risk
129668.0,2.0,36.0,1,12.0,Medium Risk
41671.0,89.99,35.96,0,11.0,Medium Risk
86701.0,9.81,35.95,0,0.0,Medium Risk
59385.0,18.98,35.93,1,16.0,Medium Risk
92092.0,18.0,35.92,1,1.0,Medium Risk
44423.0,2310.0,35.88,0,12.0,High Risk
46149.0,1.0,35.86,1,12.0,Medium Risk
36132.0,1.0,35.82,0,10.0,Medium Risk
142280.0,324.59,35.77,1,15.0,High Risk
149640.0,2.0,35.7,1,17.0,Medium Risk
41743.0,802.52,35.68,1,11.0,High Risk
171207.0,3.82,35.65,0,23.0,Medium Risk
27784.0,23.36,35.58,1,7.0,Medium Risk
